StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,StudyTimeWeekly_transformed,GPA_scaled,Absences_scaled,GPA_binned
1001,17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,2.929195591667681,2.0,1.6248983729860103,1.1180863116664626,-0.8908223715622926,3.0
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0,0.9822315873012105,1.2423744574038993,-1.7176935833500317,3.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0,-0.9523496790353113,-1.9602771889382216,1.3535423461472853,0.0
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0,0.12795260185336363,0.16178970455436958,-0.06395115977455339,2.0
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0,-0.8569238911085436,-0.6755727871499934,0.2904222167059063,1.0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0,-0.18995757169331132,1.2874787000437125,-1.7176935833500317,3.0
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0,1.0112130734290248,0.9203101403015941,-0.536448995081833,3.0
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0,0.984599769048483,-0.5967921020958057,0.8810445108400057,1.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0,-0.8795391005522163,1.0827008929211555,-1.599569124523212,3.0
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0,1.4277726817676455,1.822243265286167,-1.7176935833500317,3.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0,0.42850665860536785,0.26338215408197463,-0.41832453625501304,2.0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0,-0.2962934816528811,-0.37880352921992977,0.0541732990522665,1.0
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0,0.12961901225604974,-0.4219928594510517,0.7629200520131858,1.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0,0.46875662125821765,-0.16897414436442817,0.7629200520131858,1.0
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0,0.32223126972123345,0.5361976465777527,-0.6545734539086528,2.0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0,0.07703382893492475,-0.617144799578235,0.2904222167059063,1.0
